1	Divisions of the field
 
Flag of San Marino
Flag of San Marino
 
Flag of Singapore
Flag of Singapore
 
Flag of Wales, United Kingdom
Flag of Wales, United Kingdom
 
Former civil ensign of Myanmar (1974-2010)
Former civil ensign of Myanmar (1974-2010)
 
Flag of Saskatchewan (Canada)
Flag of Saskatchewan (Canada)
 
Flag of Saare County, Estonia
Flag of Saare County, Estonia
 
Flag of Kurgan, Kurgan Oblast, Russian Federation
Flag of Kurgan, Kurgan Oblast, Russian Federation
 
Flag of Cantabria, Spain
Flag of Cantabria, Spain
 
Flag of County Durham, England, United Kingdom
Flag of County Durham, England, United Kingdom
 
Flag of Hampshire, England, United Kingdom
Flag of Hampshire, England, United Kingdom
 
Flag of Łódź, Poland
Flag of Łódź, Poland
 
Flag of Kansas City, Missouri, USA
Flag of Kansas City, Missouri, USA
 
Bastion Point Flag
Bastion Point Flag
 
Flag of the National Liberation Front of South Vietnam
Flag of the National Liberation Front of South Vietnam
 
Flag of the Kachin Independence Army
Flag of the Kachin Independence Army
 
Flag of the Pakistan Tehreek-e-Insaf
Flag of the Pakistan Tehreek-e-Insaf
Other biband
Flag of Otago, New Zealand
Flag of Otago, New Zealand
Note: For 'unequal width horizontal biband', see #Chief and #Terrace in base (Champagne)

Triband, horizontal (Tierced in fess)
Equal height horizontal triband
Bicolor equal height horizontal triband
Bicolor equal height horizontal triband, plain
Flag of Republic of Austria
Flag of Republic of Austria
 
Civil Ensign of Albania
Civil Ensign of Albania
 
Former flag of Belarus (1918; 1990–1995)
Former flag of Belarus (1918; 1990–1995)
 
Former flag of Baden (1891–1952)
Former flag of Baden (1891–1952)
 
Flag of Tucumán Province, Argentina
Flag of Tucumán Province, Argentina
 
Flag of Atlántico Department, Colombia
Flag of Atlántico Department, Colombia
 
Flag of Rotterdam, South Holland, Netherlands
Flag of Rotterdam, South Holland, Netherlands
 
Flag of Knyazhe, Lviv Oblast, Ukraine
Flag of Knyazhe, Lviv Oblast, Ukraine
 
White-blue-white protest flag, Russia
White-blue-white protest flag, Russia
Bicolor equal height horizontal triband, charged
Flag of Argentina
Flag of Argentina
 
Flag of El Salvador
Flag of El Salvador
 
Flag of the Republic of Honduras
Flag of the Republic of Honduras
 
Flag of Nicaragua
Flag of Nicaragua
 
Historical merchant ensign of Montenegro (early 1880s-late 1880s)
Historical merchant ensign of Montenegro (early 1880s-late 1880s)
 
Flag of the Gambier Islands, French Polynesia
Flag of the Gambier Islands, French Polynesia
 
Flag of Andalusia, Spain
Flag of Andalusia, Spain
 
Flag of Kurgan Oblast, Russian Federation
Flag of Kurgan Oblast, Russian Federation
 
Flag of Belém do Brejo do Cruz, Paraíba, Brazil
Flag of Belém do Brejo do Cruz, Paraíba, Brazil
 
Flag of Virovitica-Podravina County, Croatia
Flag of Virovitica-Podravina County, Croatia
 
Flag of Talanga, Honduras
Flag of Talanga, Honduras
 
Flag of Amsterdam, North Holland, Netherlands
Flag of Amsterdam, North Holland, Netherlands
 
Flag of the city of Enschede, Overijssel, Netherlands
Flag of the city of Enschede, Overijssel, Netherlands
 
Flag of Leiden, South Holland, Netherlands
Flag of Leiden, South Holland, Netherlands
 
Centennial Flag of Illinois, USA
Centennial Flag of Illinois, USA
 
Flag of Chattanooga, Tennessee, USA
Flag of Chattanooga, Tennessee, USA
 
Flag of Norfolk, Virginia, USA
Flag of Norfolk, Virginia, USA
 
Flag of the former Republic of Baja California and Republic of Sonora Filibuster
Flag of the former Republic of Baja California and Republic of Sonora Filibuster
 
Flag of Urburschenschaft (Germany, 1816)
Flag of Urburschenschaft (Germany, 1816)
Tricolor equal height horizontal triband
Tricolor equal height horizontal triband, plain
Flag of Republic of Armenia
Flag of Republic of Armenia
 
Flag of Republic of Bolivia
Flag of Republic of Bolivia
 
Flag of the Republic of Bulgaria
Flag of the Republic of Bulgaria
 
Flag of the Republic of Estonia
Flag of the Republic of Estonia
 
Flag of the Federal Republic of Germany
Flag of the Federal Republic of Germany
 
Flag of the Republic of Hungary
Flag of the Republic of Hungary
 
Flag of the Republic of Lithuania
Flag of the Republic of Lithuania
 
Flag of the Grand Duchy of Luxembourg
Flag of the Grand Duchy of Luxembourg
 
Flag of the Kingdom of the Netherlands
Flag of the Kingdom of the Netherlands
 
Flag of the Russian Federation (Russia)
Flag of the Russian Federation (Russia)
 
Flag of Republic of Sierra Leone
Flag of Republic of Sierra Leone
 
Flag of the Republic of Yemen
Flag of the Republic of Yemen
 
Naval jack of Slovenia (1996-present)
Naval jack of Slovenia (1996-present)
 
Prince's Flag of the Netherlands
Prince's Flag of the Netherlands
 
Flag of the former Russian Empire (1858–1883)
Flag of the former Russian Empire (1858–1883)
 
Flag of the former Serbia and Montenegro
Flag of the former Serbia and Montenegro
 
Flag of the Republika Srpska, Bosnia and Herzegovina
Flag of the Republika Srpska, Bosnia and Herzegovina
 
Flag of Perak, Malaysia
Flag of Perak, Malaysia
 
Flag of Gelderland, Netherlands
Flag of Gelderland, Netherlands
 
Flag of North Holland, Netherlands
Flag of North Holland, Netherlands
 
Flag of Chinandega, Chinandega Department, Nicaragua
Flag of Chinandega, Chinandega Department, Nicaragua
 
Flag of the Autonomous Republic of Dagestan (Russian Federation)
Flag of the Autonomous Republic of Dagestan (Russian Federation)
 
Flag of Karelia, Russian Federation
Flag of Karelia, Russian Federation
 
Flag of the Busoga, Uganda
Flag of the Busoga, Uganda
 
Flag of São Félix do Coribe, Bahia, Brazil
Flag of São Félix do Coribe, Bahia, Brazil
 
Flag of the African National Congress
Flag of the African National Congress
 
Pan-African Flag
Pan-African Flag
 
Pansexual flag
Pansexual flag
 
Flag of the Donetsk People's Republic
Flag of the Donetsk People's Republic
 
Flag of the Luhansk People's Republic
Flag of the Luhansk People's Republic
 
Flag of the Autonomous Republic of South Ossetia (Russian Federation)
Flag of the Autonomous Republic of South Ossetia (Russian Federation)
Tricolor equal height horizontal triband, charged
Flag of Republic of Azerbaijan
Flag of Republic of Azerbaijan
 
Flag of Croatia
Flag of Croatia
 
Flag of the Arab Republic of Egypt
Flag of the Arab Republic of Egypt
 
Flag of the Republic of Ethiopia
Flag of the Republic of Ethiopia
 
Flag of the Republic of Ghana
Flag of the Republic of Ghana
 
Flag of the Republic of India
Flag of the Republic of India
 
Flag of the Islamic Republic of Iran
Flag of the Islamic Republic of Iran
 
Flag of the Republic of Iraq
Flag of the Republic of Iraq
 
Flag of the Republic of Malawi
Flag of the Republic of Malawi
 
Flag of the Union of Myanmar
Flag of the Union of Myanmar
 
Flag of the Republic of Niger
Flag of the Republic of Niger
 
Flag of the Republic of Paraguay
Flag of the Republic of Paraguay
 
Flag of the Republic of Serbia
Flag of the Republic of Serbia
 
Flag of the Republic of Slovakia
Flag of the Republic of Slovakia
 
Flag of the Republic of Slovenia
Flag of the Republic of Slovenia
 
Flag of Somaliland
Flag of Somaliland
 
Flag of the Syrian Arab Republic (Syria)
Flag of the Syrian Arab Republic (Syria)
 
Flag of the Bolivarian Republic of Venezuela
Flag of the Bolivarian Republic of Venezuela
 
Flag of the Second Spanish Republic (1931–1939)
Flag of the Second Spanish Republic (1931–1939)
 
Flag of the Landes of North Rhine-Westphalia, Germany
Flag of the Landes of North Rhine-Westphalia, Germany
 
Flag of Pozuzo, Oxapampa Province, Pasco Region, Peru
Flag of Pozuzo, Oxapampa Province, Pasco Region, Peru
 
Flag of Bashkortostan, Russian Federation
Flag of Bashkortostan, Russian Federation
 
Flag of Kabardino-Balkaria, Russian Federation
Flag of Kabardino-Balkaria, Russian Federation
 
Flag of Karachay-Cherkessia, Russian Federation
Flag of Karachay-Cherkessia, Russian Federation
 
Flag of Extremadura, Spain
Flag of Extremadura, Spain
 
Flag of the State of Missouri, USA
Flag of the State of Missouri, USA
 
Flag of New Caledonia (local)
Flag of New Caledonia (local)
 
Flag of Rodrigues Alves, Acre, Brazil
Flag of Rodrigues Alves, Acre, Brazil
 
Former flag of Budapest, Hungary
Former flag of Budapest, Hungary
 
Flag of the City of Miami, Florida, USA
Flag of the City of Miami, Florida, USA
Fimbriated (or filleted) equal height horizontal triband
Flag of the Gambia
Flag of the Gambia
 
Flag of the former Tanganyika (1961–1964)
Flag of the former Tanganyika (1961–1964)
See also #Triangle at hoist with equal height triband field

Unequal height horizontal triband
Unequal horizontal triband, center band wider than 1/3 but narrower than 1/2 hoist
Flag of the Kingdom of Lesotho
Flag of the Kingdom of Lesotho
 
Flag of the Republic of Tajikistan
Flag of the Republic of Tajikistan
 
Flag of the Trucial States (1968–1971)
Flag of the Trucial States (1968–1971)
 
Flag of Sukhothai province, Thailand
Flag of Sukhothai province, Thailand
 
Flag of Flag of Berezniki, Perm Krai, Russian Federation
Flag of Flag of Berezniki, Perm Krai, Russian Federation
 
Flag of the Ror Empire
Flag of the Ror Empire
Spanish fess
Bicolor Spanish fess
Flag of Spain
Flag of Spain
 
Flag of Cambodia
Flag of Cambodia
 
Flag of Laos
Flag of Laos
 
Flag of Lebanon
Flag of Lebanon
 
Flag of French Polynesia
Flag of French Polynesia
 
Flag of the former Grand Duchy of Hesse
Flag of the former Grand Duchy of Hesse
 
Standard of the Nguyễn dynasty (1890 - 1920)
Standard of the Nguyễn dynasty (1890 - 1920)
 
Standard of the Nguyễn dynasty (1920s–1945)
Standard of the Nguyễn dynasty (1920s–1945)
 
Flag of Požega-Slavonia County, Croatia
Flag of Požega-Slavonia County, Croatia
 
Flag of Kherson Oblast, Ukraine
Flag of Kherson Oblast, Ukraine
 
Flag of Osnabrück, Lower Saxony, Germany
Flag of Osnabrück, Lower Saxony, Germany
 
Flag of Wachtberg, North Rhine-Westphalia, Germany
Flag of Wachtberg, North Rhine-Westphalia, Germany
 
Flag of Doesburg, Gelderland, Netherlands
Flag of Doesburg, Gelderland, Netherlands
 
Flag of Asunción, Paraguay
Flag of Asunción, Paraguay
 
Unofficial flag of the Leeward Islands (Society Islands), French Polynesia
Unofficial flag of the Leeward Islands (Society Islands), French Polynesia
Note: Center band is equal to half the height of the hoist.

Tricolor Spanish fess
Flag of Libya
Flag of Libya
 
Flag of the former Sultanate of Darfur
Flag of the former Sultanate of Darfur
 
Flag of Zenica-Doboj Canton, Bosnia and Herzegovina
Flag of Zenica-Doboj Canton, Bosnia and Herzegovina
 
Flag of the former Taraclia County, Moldova
Flag of the former Taraclia County, Moldova
 
Flag of Caaguazú Department, Paraguay
Flag of Caaguazú Department, Paraguay
 
Flag of Kuyavian–Pomeranian Voivodeship, Poland
Flag of Kuyavian–Pomeranian Voivodeship, Poland
 
Flag of Krasnodar Krai, Russian Federation
Flag of Krasnodar Krai, Russian Federation
 
Flag of Mordovia, Russian Federation
Flag of Mordovia, Russian Federation
 
Flag of Ryazan Oblast, Russian Federation
Flag of Ryazan Oblast, Russian Federation
 
Former flag of Kalmykia (1992), Russian Federation
Former flag of Kalmykia (1992), Russian Federation
 
Flag of the former South African 'homeland' of Lebowa (1972–1994)
Flag of the former South African 'homeland' of Lebowa (1972–1994)
 
Flag of Altos del Rosario, Bolívar, Colombia
Flag of Altos del Rosario, Bolívar, Colombia
 
Flag of West Memphis, Arkansas, USA
Flag of West Memphis, Arkansas, USA
 
Flag of San José, California, USA
Flag of San José, California, USA
Unequal horizontal triband, center band wider than 1/2 hoist
Center band slightly wider than 1/2 height of hoist
Former civil flag of Bolivia (1826-1851)
Former civil flag of Bolivia (1826-1851)
Center band 3/5's height of hoist
Flag of Mauritania
Flag of Mauritania
 
Flag of the Jatibonicu Taino Tribal Nation
Flag of the Jatibonicu Taino Tribal Nation
 
Flag of Ehime Prefecture, Japan
Flag of Ehime Prefecture, Japan
 
Flag of Berlin, Germany
Flag of Berlin, Germany
 
Flag of Halle, Westphalia, Germany
Flag of Halle, Westphalia, Germany
 
Flag of Winschoten, Groningen, Netherlands
Flag of Winschoten, Groningen, Netherlands
Center band almost 3/5's height of hoist
Flag of Kamphaeng Phet province, Thailand
Flag of Kamphaeng Phet province, Thailand
 
Flag of Samut Sakhon province, Thailand
Flag of Samut Sakhon province, Thailand
 
Former flag of Syracuse, New York (1986–2023), USA
Former flag of Syracuse, New York (1986–2023), USA
Center band more than 3/5's height of hoist
Flag of Belize
Flag of Belize
 
Flag of the former Kingdom of Prussia (fourth, 1892-1918)
Flag of the former Kingdom of Prussia (fourth, 1892-1918)
 
Amir Kabir State flag of Iran (1848–1852)
Amir Kabir State flag of Iran (1848–1852)
 
Flag of Vojvodina, Serbia
Flag of Vojvodina, Serbia
 
Flag of Crimea, Ukraine
Flag of Crimea, Ukraine
 
Flag of Ingushetia, Russian Federation
Flag of Ingushetia, Russian Federation
 
Flag of Calgary, Alberta, Canada
Flag of Calgary, Alberta, Canada
 
Flag of Bucaramanga, Santander Department, Colombia
Flag of Bucaramanga, Santander Department, Colombia
 
Flag of Lika-Senj County, Croatia
Flag of Lika-Senj County, Croatia
 
Flag of Zeppelinheim, Neu-Isenburg, Hesse, Germany
Flag of Zeppelinheim, Neu-Isenburg, Hesse, Germany
 
Flag of Damme, Lower Saxony, Germany
Flag of Damme, Lower Saxony, Germany
 
Flag of Tar, Nógrád County, Hungary
Flag of Tar, Nógrád County, Hungary
 
Flag of New Orleans, USA
Flag of New Orleans, USA
 
Flag of Fort Lauderdale, Florida, USA
Flag of Fort Lauderdale, Florida, USA
 
Flag of Belmopan, Belize
Flag of Belmopan, Belize
 
Flag of Arlington County, Virginia, USA
Flag of Arlington County, Virginia, USA
 
Flag of Almaty, Kazakhstan
Flag of Almaty, Kazakhstan
Wide center band, fimbriated
Flag of Eswatini
Flag of Eswatini
 
Flag of North Korea
Flag of North Korea
 
Former flag of Tuvalu (1996–1997)
Former flag of Tuvalu (1996–1997)
 
Flag of Erie, Pennsylvania, USA
Flag of Erie, Pennsylvania, USA
 
Flag of Elburg, Gelderland, Netherlands
Flag of Elburg, Gelderland, Netherlands
 
Flag of Chernivtsi Oblast, Ukraine
Flag of Chernivtsi Oblast, Ukraine
 
Flag of the People's Union for the Liberation of Guadeloupe
Flag of the People's Union for the Liberation of Guadeloupe
See also #Unequal width horizontal multiband > #Pentaband and more

'Andean chief'*
Flag of the Republic of Colombia
Flag of the Republic of Colombia
 
Flag of the Republic of Ecuador
Flag of the Republic of Ecuador
 
Flag of Rwanda
Flag of Rwanda
 
Flag of the First Republic of Venezuela (1810–1812)
Flag of the First Republic of Venezuela
(1810–1812)
 
Flag of the former Republic of Spanish Haiti (1821-1822)
Flag of the former Republic of Spanish Haiti (1821-1822)
 
Flag of Chocó Department, Columbia
Flag of Chocó Department, Columbia
 
Flag of Dornogovi Province, Mongolia
Flag of Dornogovi Province, Mongolia
 
Flag of Buryatia, Russian Federation
Flag of Buryatia, Russian Federation
 
Flag of Banffshire, Scotland, United Kingdom
Flag of Banffshire, Scotland, United Kingdom
 
Flag of Sácama, Casanare Department, Colombia
Flag of Sácama, Casanare Department, Colombia
 
Flag of El Atrato, Chocó Department, Colombia
Flag of El Atrato, Chocó Department, Colombia
 
Flag of El Roble, Sucre Department, Colombia
Flag of El Roble, Sucre Department, Colombia
 
Flag of Rostock, Germany
Flag of Rostock, Germany
 
A flag of the Rusyns
A flag of the Rusyns
 
Flag of the Russian-American Company
Flag of the Russian-American Company
 
Flag of Medio San Juan, Chocó Department, Colombia
Flag of Medio San Juan, Chocó Department, Colombia
 
Flag of Chilla Canton, El Oro Province, Ecuador
Flag of Chilla Canton, El Oro Province, Ecuador
*Term introduced here, by reference to 'Spanish fess': an unequal triband with an upper band 1/2 the height of the hoist, and two lower bands each 1/4 the height of the hoist.

'Andean chief' adjacent
Flag of Cazin, Bosnia and Herzegovina
Flag of Cazin, Bosnia and Herzegovina
 
Flag of Gagauzia (Moldova)
Flag of Gagauzia (Moldova)
 
Flag of San José, Costa Rica
Flag of San José, Costa Rica
 
Naval Ensign of Bulgaria
Naval Ensign of Bulgaria
 
Flag of Cojedes State, Venezuela
Flag of Cojedes State, Venezuela
 
Ensign of the Netherlands Coast Guard
Ensign of the Netherlands Coast Guard
 
Flag of Kirov Oblast, Russian Federation
Flag of Kirov Oblast, Russian Federation
'Andean chief' adjacent, inverted
Former flag of Afghanistan (1974–1978)
Former flag of Afghanistan (1974–1978)
 
Flag of Zapytiv, Lviv Oblast, Ukraine
Flag of Zapytiv, Lviv Oblast, Ukraine
See also #Terrace in base (Champagne)

Bar
Flag of Botswana (fimbriated)
Flag of Botswana
(fimbriated)
 
Flag of Republic of Latvia
Flag of Republic of Latvia
 
Flag of Latgale, Latvia
Flag of Latgale, Latvia
 
Flag of Selonia, Latvia
Flag of Selonia, Latvia
 
Flag of Semigallia, Latvia
Flag of Semigallia, Latvia
 
Flag of Dutch Limburg, Netherlands
Flag of Dutch Limburg, Netherlands
 
Flag of the Lesser Poland Voivodship, Poland
Flag of the Lesser Poland Voivodship, Poland
 
Flag of the Lublin Voivodeship, Poland
Flag of the Lublin Voivodeship, Poland
 
Flag of the Silesian Voivodeship, Poland
Flag of the Silesian Voivodeship, Poland
 
Flag of the former Brandenburg, German Democratic Republic (1945-1952)
Flag of the former Brandenburg, German Democratic Republic (1945-1952)
 
Flag of Planaltino, Bahia, Brazil
Flag of Planaltino, Bahia, Brazil
 
Flag of Bēne Parish, Latvia
Flag of Bēne Parish, Latvia
 
Flag of Jēkabpils Municipality, Latvia
Flag of Jēkabpils Municipality, Latvia
 
Flag of Jūrmala, Latvia
Flag of Jūrmala, Latvia
 
Flag of Rēzekne, Latvia
Flag of Rēzekne, Latvia
 
Flag of De Fryske Marren, Friesland, Netherlands
Flag of De Fryske Marren, Friesland, Netherlands
 
Flag of Lublin, Poland
Flag of Lublin, Poland
 
Flag of Toa Alta, Puerto Rico (USA)
Flag of Toa Alta, Puerto Rico (USA)
 
Unofficial flag of Labrador, Canada
Unofficial flag of Labrador, Canada
 
Flag of the Livonians
Flag of the Livonians
 
Bisexual Pride Flag
Bisexual Pride Flag
 
Flag of the Republic of New Afrika
Flag of the Republic of New Afrika
 
Flag of the Székelys
Flag of the Székelys
 
Former flag of Oman (1970–1995)
Former flag of Oman (1970–1995)
Note: The bar is a heraldic charge 1/5 the breadth of the field. When centered on a triband flag, the upper and lower bands are each 2/5's breadth of field.

Bar adjacent
Fimbriated (or filleted) bar or fess

Flag of the Gambia
Flag of the Gambia
 
Former jack of the Chinese People's Liberation Army Navy (1950's)
Former jack of the Chinese People's Liberation Army Navy (1950's)
 
Flag of the Uzbek Soviet Socialist Republic (1952–1991)
Flag of the Uzbek Soviet Socialist Republic (1952–1991)
Fimbriated (or filleted) horizontal biband and adjacent

Flag of Nauru
Flag of Nauru
 
Flag of the Arab Maghreb Union
Flag of the Arab Maghreb Union
 
Flag of Tatarstan, Russian Federation
Flag of Tatarstan, Russian Federation
Other unequal horizontal triband, narrower center band, bicolor

Flag of Transnistria (state)
Flag of Transnistria (state)
 
Flag of the former Armenian Soviet Socialist Republic (1952–1990)
Flag of the former Armenian Soviet Socialist Republic (1952–1990)
 
Flag of the Somali National Army
Flag of the Somali National Army
 
Flag of Vilnius, Lithuania
Flag of Vilnius, Lithuania
 
Flag of the South African Police Service
Flag of the South African Police Service
 
Flag of Anaheim, California, USA (2018–present)
Flag of Anaheim, California, USA
(2018–present)
Flag of Siedlce, Poland
Flag of Siedlce, Poland
Other unequal horizontal triband, narrower center band, tricolor

Former flag of Gabon (1959–1960)
Former flag of Gabon (1959–1960)
 
Flag of Kaluga Oblast, Russian Federation
Flag of Kaluga Oblast, Russian Federation
 
Flag of Barbuda (2018-present)
Flag of Barbuda (2018-present)
 
Flag of Kaliningrad Oblast, Russian Federation
Flag of Kaliningrad Oblast, Russian Federation
 
Flag of Villers-la-Ville, Walloon Brabant, Belgium
Flag of Villers-la-Ville, Walloon Brabant, Belgium
 
Former flag of St. Louis, Missouri, USA (1946–1964)
Former flag of St. Louis, Missouri, USA
(1946–1964)
 
Flag of Denison, Texas, USA
Flag of Denison, Texas, USA
See also #Charges > #Fess and #Triangle at hoist with unequal height triband field

Other unequal height horizontal triband
Flag of Posavina Canton, Bosnia and Herzegovina
Flag of Posavina Canton, Bosnia and Herzegovina
 
A flag of the Chagossians
A flag of the Chagossians
Multiband, horizontal
Equal height horizontal multiband
Flag of Mauritius
Flag of Mauritius
 
Flag of the Miccosukee Tribe of Indians of Florida
Flag of the Miccosukee Tribe of Indians of Florida
 
Flag of the former Federated Malay States (1895–1946)
Flag of the former Federated Malay States (1895–1946)
 
Flag of Angaur State, Palau
Flag of Angaur State, Palau
 
Flag of the Podlachian Voivodeship, Poland
Flag of the Podlachian Voivodeship, Poland
 
Flag of La Rioja, Spain
Flag of La Rioja, Spain
 
Naval Ensign of the State of Slovenes, Croats and Serbs and Yugoslavia (1918-1920)
Naval Ensign of the State of Slovenes, Croats and Serbs and Yugoslavia (1918-1920)
 
Flag of Salesópolis, São Paulo, Brazil
Flag of Salesópolis, São Paulo, Brazil
 
Former flag of China (1912–1928)
Former flag of China (1912–1928)
 
Civil flag of the former Jabal Druze State (1921–1936)
Civil flag of the former Jabal Druze State (1921–1936)
 
Flag of St. Petersburg, Florida, USA
Flag of St. Petersburg, Florida, USA
 
Gay Pride Flag
Gay Pride Flag
 
Peace Flag
Peace Flag
 
Flag of Cusco, Peru
Flag of Cusco, Peru
Tricolor equal height horizontal multiband
Flag of Eastern Equatoria, South Sudan
Flag of Eastern Equatoria, South Sudan
 
Transgender Pride flag
Transgender Pride flag
Unequal height horizontal multiband
Quadriband
Flag of the Conservative People's Party of Estonia
Flag of the Conservative People's Party of Estonia
 
Flag of Napo Province, Ecuador]]
Flag of Napo Province, Ecuador]]
 
Flag of Canindeyú Department, Paraguay
Flag of Canindeyú Department, Paraguay
 
Flag of the Lubusz Voivodeship, Poland
Flag of the Lubusz Voivodeship, Poland
 
Flag of Żory, Silesian Voivodeship, Poland
Flag of Żory, Silesian Voivodeship, Poland
 
Flag of Radzionków, Silesian Voivodeship, Poland
Flag of Radzionków, Silesian Voivodeship, Poland
 
Flag of the Sakha Republic (aka Yakutia), Russian Federation
Flag of the Sakha Republic (aka Yakutia), Russian Federation
 
Flag of Sverdlovsk Oblast, Russian Federation
Flag of Sverdlovsk Oblast, Russian Federation
Note: See also #Terrace in base (Champagne)

Pentaband and more
Flag of Suriname
Flag of Suriname
 
Flag of Costa Rica
Flag of Costa Rica
 
Flag of Thailand
Flag of Thailand
 
Proposed flag of Jamaica (~1962)
Proposed flag of Jamaica
(~1962)
 
Flag of Jainism
Flag of Jainism
 
Former flag of Thailand (1916-1917)
Former flag of Thailand (1916-1917)
 
Flag of Boyacá Department, Colombia
Flag of Boyacá Department, Colombia
 
Flag of Kherson, Ukraine
Flag of Kherson, Ukraine
 
Flag of the former Põlva and Põlva Parish, Põlva County, Estonia (1995-2017)
Flag of the former Põlva and Põlva Parish, Põlva County, Estonia (1995-2017)
 
Flag of Yakutsk, Russia
Flag of Yakutsk, Russia
 
Flag of Elburg, Gelderland, Netherlands
Flag of Elburg, Gelderland, Netherlands
 
Banner of First World War Czech and Slovak Volunteers from the USA
Banner of First World War Czech and Slovak Volunteers from the USA
 
House Flag of Ghana's former Black Star Line
House Flag of Ghana's former Black Star Line
 
Flag of Mecklenburg-Vorpommern, Germany
Flag of Mecklenburg-Vorpommern, Germany
 
Flag of Blaricum, North Holland, Netherlands
Flag of Blaricum, North Holland, Netherlands
 
Flag of Loja Province, Ecuador
Flag of Loja Province, Ecuador
 
Flag of Cape Verde
Flag of Cape Verde
 
Flag of the former Chechen Republic of Ichkeria
Flag of the former Chechen Republic of Ichkeria
 
Flag of Rivne Oblast, Ukraine
Flag of Rivne Oblast, Ukraine
 
Flag of Kursk Oblast, Russian Federation
Flag of Kursk Oblast, Russian Federation
 
War Ensign of Manchukuo
War Ensign of Manchukuo
 
Flag of Santa Cruz County, California, USA
Flag of Santa Cruz County, California, USA
 
Afro-Chilean Flag
Afro-Chilean Flag
 
Former flag of Guatemala (1858–1871)
Former flag of Guatemala (1858–1871)
See also #Charges > #Fess and #Dual bars*

Tripart (aka 'Tribar'), coupé mi-parti
Flag of Benin
Flag of Benin
 
Flag of Madagascar
Flag of Madagascar
 
Flag of Guinea-Bissau
Flag of Guinea-Bissau
 
Flag of Cape Verde (1975–1992)
Flag of Cape Verde
(1975–1992)
 
Flag of Texas, USA
Flag of Texas, USA
 
Flag of North Carolina, USA
Flag of North Carolina, USA
 
Flag of Laredo, Texas, USA, and historic Flag of the Republic of the Rio Grande
Flag of Laredo, Texas, USA, and historic Flag of the Republic of the Rio Grande
 
Flag of Frankfurt am Main, Germany
Flag of Frankfurt am Main, Germany
 
Flag of Portland island, United Kingdom
Flag of Portland island, United Kingdom
See also #Charges > #Ordinaries > #Side > #Hoist-wise side* (Side dexter, adextré, adiestrado)

Diagonal division of the field
Diagonally bisected
Party per bend
Flag of Papua New Guinea
Flag of Papua New Guinea
 
Flag of Christmas Island, Australia
Flag of Christmas Island, Australia
 
Former flag of French Guiana (2010–2015)
Former flag of French Guiana (2010–2015)
 
Flag of the Prime Minister of Barbados
Flag of the Prime Minister of Barbados
 
Flag of the Ethiopian National Defense Force
Flag of the Ethiopian National Defense Force
 
Flag of the United States Fish and Wildlife Service
Flag of the United States Fish and Wildlife Service
 
Flag of Tierra del Fuego Province, Argentina
Flag of Tierra del Fuego Province, Argentina
 
Flag of Sicily, Italy
Flag of Sicily, Italy
 
Flag of Tlaxcala, Mexico
Flag of Tlaxcala, Mexico
 
Flag of Manus Province, Papua New Guinea
Flag of Manus Province, Papua New Guinea
 
Flag of Enga Province, Papua New Guinea
Flag of Enga Province, Papua New Guinea
 
Flag of Dnipropetrovsk Oblast, Ukraine
Flag of Dnipropetrovsk Oblast, Ukraine
 
Flag of the Israel Defense Forces Artillery Corps
Flag of the Israel Defense Forces Artillery Corps
 
Flag of the Lviv State Aircraft Repair Plant (LDARZ), Ukraine
Flag of the Lviv State Aircraft Repair Plant (LDARZ), Ukraine
 
Flag of Sorocaba, São Paulo, Brazil
Flag of Sorocaba, São Paulo, Brazil
 
Flag of Strahovice, Czechia
Flag of Strahovice, Czechia
 
Flag of Campo nell'Elba, Province of Livorno, Italy
Flag of Campo nell'Elba, Province of Livorno, Italy
 
Flag of Batu Pahat District, Johor, Malaysia
Flag of Batu Pahat District, Johor, Malaysia
 
Flag of Utrecht, Netherlands
Flag of Utrecht, Netherlands
 
Flag of Zaria, Nigeria
Flag of Zaria, Nigeria
 
Flag of Palermo, Sicily, Italy
Flag of Palermo, Sicily, Italy
 
Flag of Bologoye, Tver Oblast, Russia
Flag of Bologoye, Tver Oblast, Russia
 
Flag of Orrios, Teruel, Spain
Flag of Orrios, Teruel, Spain
 
Flag of Zürich, Switzerland
Flag of Zürich, Switzerland
 
Flag of Marden, Herefordshire, England, United Kingdom
Flag of Marden, Herefordshire, England, United Kingdom
 
Flag of Santa Ana, California, USA
Flag of Santa Ana, California, USA
 
Flag of Oakland Park, Florida, USA
Flag of Oakland Park, Florida, USA
 
Flag of Loveland, Ohio, USA
Flag of Loveland, Ohio, USA
Flag of Zuccarello, Province of Savona, Liguria, Italy
Flag of Zuccarello, Province of Savona, Liguria, Italy
 
Flag of Sierra Vista, Arizona, USA
Flag of Sierra Vista, Arizona, USA
Party per bend sinister
Flag of Bhutan
Flag of Bhutan
 
Flag of Japan Customs
Flag of Japan Customs
 
Flag of the United States Chief of Naval Operations
Flag of the United States Chief of Naval Operations
 
Flag of Acre State, Brazil
Flag of Acre State, Brazil
 
Flag of Casanare Department, Colombia
Flag of Casanare Department, Colombia
 
Flag of Eastern Highlands Province, Papua New Guinea
Flag of Eastern Highlands Province, Papua New Guinea
 
Flag of Sucre State, Venezuela
Flag of Sucre State, Venezuela
 
Former flag of Jeju Province, South Korea (1969–2009)
