1	Divisions of the field
3.4.2.3	Bend sinister (South-East diagonal)
3.4.2.4	Bend sinister (South-North diagonal, Enhanced bend sinister)
3.5	Cross
3.5.1	Symmetric cross
3.5.1.1	Symmetric cross couped
3.5.1.2	Symmetric + Saltire
3.5.2	Offset cross (Nordic / Latin)
3.5.2.1	Offset cross enhanced
3.5.2.2	Offset cross abased
3.5.2.3	Nordic/Offset cross + Saltire
3.5.3	Saltire
3.5.3.1	Saltorel
3.5.4	Celtic cross
3.6	Canton
3.6.1	Canton with plain field
3.6.1.1	Canton with plain field, charged
3.6.2	Canton with horizontal biband field
3.6.3	Canton with horizontal triband field
3.6.4	Canton with horizontal quadriband field
3.6.5	Canton with striped field
3.6.6	Canton with cross spanning field
3.6.7	Canton with quartered field
3.6.8	Canton with other field
3.6.9	Canton square in shape
3.6.10	Canton not affixed to corner
3.7	Esquarre
3.8	Chief
3.9	Base (Terrace in base or Champagne)
3.10	Side
3.10.1	Hoist-ward side* (Side dexter, adextré, adiestrado)
3.10.1.1	Hoist-ward side with plain field
3.10.1.2	Hoist-ward side with biband field
3.10.1.2.1	Hoist-ward side with biband field, or side with champagne
3.10.1.3	Hoist-ward side with triband field
3.10.1.4	Hoist-ward side with stripes
3.10.1.5	Hoist-ward side, divided or varied
3.10.2	Fly-ward side* (Side sinister, senestré, siniestrado)
3.11	Bordure
3.11.1	Pennant with bordure
3.11.2	Three-sided border
3.11.3	Orle or Tressure
3.11.4	Bordure + orle
3.12	Pile
3.12.1	Pile at hoist with plain field (Party per chevron)
3.12.2	Pile at hoist with biband field (Party per pall)
3.12.3	Pile at hoist with triband field
3.12.3.1	Pile at hoist with equal height triband field
3.12.3.1.1	Pile at hoist with bicolor equal height triband field
3.12.3.1.2	Pile at hoist with tricolor equal height triband field
3.12.3.2	Triangle at hoist with unequal height triband field
3.12.4	Pile at hoist with multiband field
3.12.5	Pile at hoist with striped field
3.12.6	Other pile
3.12.7	Pile throughout
3.12.7.1	Pile throughout, horizontal
3.12.7.2	Pile throughout, vertical
3.12.7.3	Pile throughout, diagonal
3.13	Esquire or Triangular panel
3.14	Chevron
3.14.1	Couple-close as fimbriation
3.14.2	Couple-close as charge
3.15	Concave kite ('arrowhead', 'dart', 'V')
3.15.1	Triangular pennant with concave kite ('arrowhead', 'dart', 'V')
3.16	Other shapes as fixed charges (or divisions of the field)
3.16.1	Irregular quadrilateral
3.16.2	Trapezoid
3.16.3	Pentagonal fixed charge (variant of Party per chevron or per pall)
3.16.4	Hexagonal fixed charge
3.17	Pall
3.17.1	Shakefork adjacent
3.17.2	Pall adjacent
3.18	Gusset
3.18.1	Gusset adjacent
3.19	Tau (t-shape)*
3.20	Fret
4	Variations of Charges
4.1	Fimbriation
4.1.1	Fimbriation that breaks the rule of tincture
4.1.2	Fimbriated charges that are the same color as the field
4.1.3	Fimbriation that is the same color as a charge
4.1.4	Double fimbriation
4.1.5	Triple fimbriation
4.2	Voiding
