#FAMILIES
leafFamily	familyPath
Adangme	Dangbe	Latin (Dangbe alphabet)	South-eastern Ghana, east of Accra	Dangbe	1, 020, 000		ada	ada	adan1247	Dangme language	https://en.wikipedia.org/wiki/Dangme_language	Ghana	Latin (Dangbe alphabet)	Ga-Dangme
Afar	Qafar af, عَفَر أَف	Latin	Horn of Africa	Afar	2.603000 million	aa	aar	aar	afar1241	Afar language	https://en.wikipedia.org/wiki/Afar_language	Djibouti;;Eritrea;;Ethiopia	Latin	Saho–Afar
Afrikaans		Latin script (Afrikaans alphabet), Arabic script	Southern Africa	Afrikaners, Coloureds	7.2 million (2016), 10.3 million L2 speakers in South Africa	af	afr	afr	afri1274	Afrikaans	https://en.wikipedia.org/wiki/Afrikaans		Latin script (Afrikaans alphabet);;Arabic script	Dutch
Aklanon	Akeanon, Inakeanon	Latin; , Historically Baybayin	Aklan, northwestern Capiz, northern Antique, and southern Romblon	Aklanon	560, 000				akla1240	Aklanon language	https://en.wikipedia.org/wiki/Aklanon_language	Philippines	Latin;;Historically Baybayin	Western Bisayan
Akuapem Twi	Akuapem	Latin		Akuapem	626, 000				akua1239	Akuapem dialect	https://en.wikipedia.org/wiki/Akuapem_dialect	Ghana	Latin	Akuapem–Fante
Albanian	shqip, gjuha shqipe, arbërisht			Albanians	7.5 million	sq		sqi	alba1267	Albanian language	https://en.wikipedia.org/wiki/Albanian_language			Albanoid
Amharic	አማርኛ Amarəñña	Geʽez script (Amharic abugida), Geʽez Braille		Amhara	L1: 34.883130 million	am	amh	amh	amha1245	Amharic	https://en.wikipedia.org/wiki/Amharic	Ethiopia	Geʽez script (Amharic abugida);;Geʽez Braille	Amharic–Argobba
Antiguan and Barbudan Creole	Aanteegan an' Baabyuudan / Raabak	Latin		| agency = Antiguan and Barbudan Language Academy	151, 270			aig	anti1245	Antiguan and Barbudan Creole	https://en.wikipedia.org/wiki/Antiguan_and_Barbudan_Creole		Latin	Gullah–Nevis–Antigua
Arabic	اَلْعَرَبِيَّةُ ()	Arabic alphabet		Arabs, and other ethnic groups of the Arab world	410.549950 million native speakers of all varieties		ara	ara	arab1395	Arabic	https://en.wikipedia.org/wiki/Arabic	Arab world;;surrounding regions	Arabic alphabet	Central Semitic
Aragonese	aragonés	Latin (Aragonese alphabet)	Aragon; northern and central Huesca and northern Zaragoza	Aragonese	Active speakers: 10, 000–12, 000	an	arg	arg	arag1245	Aragonese language	https://en.wikipedia.org/wiki/Aragonese_language	Spain	Latin (Aragonese alphabet)	Navarro-Aragonese
Araona	alaōna	Latin	La Paz Department	Araona	110			aro	arao1248	Araona language	https://en.wikipedia.org/wiki/Araona_language	Bolivia	Latin	Araona–Tacana
Armenian	հայերեն			Armenians	5.28129 million	hy			arme1241	Armenian language	https://en.wikipedia.org/wiki/Armenian_language			
Aromanian	limba armãneascã, limba armãnã, armãneashti, armãneashte, armãneashci, armãneashce, limba rrãmãneascã, limba rrãmãnã, rrãmãneshti	Latin (Aromanian alphabet)	Balkans	Aromanians	210, 000		rup	rup	arom1237	Aromanian language	https://en.wikipedia.org/wiki/Aromanian_language	Greece;;Albania;;North Macedonia;;Bulgaria;;Romania;;Serbia	Latin (Aromanian alphabet)	Eastern Romance
Asante Twi	Asah	Latin, Braille		Ashanti	3.820000 million				asan1239	Asante dialect	https://en.wikipedia.org/wiki/Asante_dialect	Ashanti	Latin;;Braille	Asante-Akyem-Kwahu dialect
Assamese	অসমীয়া	*Bengali–Assamese script (Assamese alphabet) *Assamese Braille, Latin script (Nagamese and Nefamese)	Northeast India *Assam *Arunachal Pradesh *Meghalaya *Nagaland	Assamese	L1: 15.327990 million	as	asm	asm	assa1263	Assamese language	https://en.wikipedia.org/wiki/Assamese_language	India	*Bengali–Assamese script (Assamese alphabet) *Assamese Braille;;Latin script (Nagamese;;Nefamese)	Bengali–Assamese
Assyrian	ܣܘܪܝܬ|rtl=yes	* Swāḏāyā Syriac	Assyrian heartland (northwestern Iran, northern Iraq, northern Syria, southern Turkey), Lebanon, Armenia, global diaspora	Assyrians,	942, 430			syr	assy1241	Suret language	https://en.wikipedia.org/wiki/Suret_language	Iran;;Iraq;;Syria;;Turkey	* Swāḏāyā Syriac	Northeastern
Assyrian Neo-Aramaic	ܣܘܪܝܬ|rtl=yes	* Swāḏāyā Syriac	Assyrian heartland (northwestern Iran, northern Iraq, northern Syria, southern Turkey), Lebanon, Armenia, global diaspora	Assyrians,	942, 430			syr	assy1241	Suret language	https://en.wikipedia.org/wiki/Suret_language	Iran;;Iraq;;Syria;;Turkey	* Swāḏāyā Syriac	Northeastern
Astur-Leonese			Spain (Asturias, northwestern and northern Castile and León), Northeastern Portugal (Tierra de Miranda and some villages in the Riudenor and Deilon parishes), As transitional variants, western Cantabria, northwestern Extremadura and southwestern Castile and León				ast, mwl, ext	ast, mwl, ext	astu1244	Asturleonese language	https://en.wikipedia.org/wiki/Asturleonese_language			West Iberian
Aymara	Aymar aru	Latin script		Aymara	1.677, 100 million	ay	aym	aym	nucl1667	Aymara language	https://en.wikipedia.org/wiki/Aymara_language	Bolivia;;Chile;;Peru;;Argentina	Latin script	Aymaran
Azerbaijani		*In Azerbaijan: Latin script (Azerbaijani Latin alphabet) * In Iran: Perso-Arabic script (Azerbaijani Arabic alphabet) * In Russia: Cyrillic script	Iranian Azerbaijan, South Caucasus	Azerbaijanis	23.849330 million	az	aze	aze	azer1255	Azerbaijani language	https://en.wikipedia.org/wiki/Azerbaijani_language		*In Azerbaijan: Latin script (Azerbaijani Latin alphabet) * In Iran: Perso-Arabic script (Azerbaijani Arabic alphabet) * In Russia: Cyrillic script	Western Oghuz
Bainuk										Bainuk people	https://en.wikipedia.org/wiki/Bainuk_people			
Balochi	بلوچی Balòci	Perso-Arabic script (Balochi alphabet)	Balochistan	Baloch	8.784850 million		bal	bal	balo1260	Balochi language	https://en.wikipedia.org/wiki/Balochi_language	Pakistan;;Iran;;Afghanistan	Perso-Arabic script (Balochi alphabet)	Northwestern
Bambara	Bamanankan بَمَنَنكَن ߓߡߊߣߊ߲ߞߊ߲	Latin script, Arabic script (Ajami), NKo script, Masaba	central southern Mali	Bamana	L1: 4.186390 million	bm	bam	bam	bamb1269	Bambara language	https://en.wikipedia.org/wiki/Bambara_language	Mali	Latin script;;Arabic script (Ajami);;NKo script;;Masaba	Bambara–Dyula
Bari										Bari	https://en.wikipedia.org/wiki/Bari			
Basque	euskara	* Latin (Basque alphabet) * Basque Braille * Northeastern Iberian script (c. 80 BC)	Basque Country	Basque	806, 000	eu		eus	basq1248	Basque language	https://en.wikipedia.org/wiki/Basque_language	France;;Spain	* Latin (Basque alphabet) * Basque Braille * Northeastern Iberian script (c. 80 BC)	
Batak										Batak	https://en.wikipedia.org/wiki/Batak			
Baure	Baure		Beni Department	980 Baure (2006)	20			brg	baur1253	Baure language	https://en.wikipedia.org/wiki/Baure_language	Bolivia		Moxos
Belarusian	беларуская мова			Belarusians	5.094 million	be	bel	bel	bela1254	Belarusian language	https://en.wikipedia.org/wiki/Belarusian_language	Belarus		Ruthenian
Bengali	বাংলা (Bangla)	* Bengali–Assamese script (Bengali alphabet) * Bengali Braille * [[#Alternative and historic scripts|Alternative and historic scripts]]	*Bengal (Bangladesh and West Bengal, India) *Assam, India (Barak valley and Lower division) *Tripura, India *Jharkhand, India *Andaman and Nicobar islands, India	Bengalis	L1: 241.827340 million	bn	ben	ben	beng1280	Bengali language	https://en.wikipedia.org/wiki/Bengali_language	Bangladesh;;India	* Bengali–Assamese script (Bengali alphabet) * Bengali Braille * [[#Alternative;;historic scripts|Alternative;;historic scripts]]	Bengali–Assamese
Benshangul	Gebeto	Latin alphabet	Benishangul-Gumuz	Berta people, Wetawit	377, 000 all Berta languages			wti	bert1248	Berta language	https://en.wikipedia.org/wiki/Berta_language	Sudan;;Ethiopia	Latin alphabet	Berta languages
Berber			North Africa and Berber diaspora	Berbers			ber		berb1260	Berber languages	https://en.wikipedia.org/wiki/Berber_languages			
Bikol			Bicol Region		(1990)		bik	bik	biko1240	Bikol languages	https://en.wikipedia.org/wiki/Bikol_languages			Central Philippine
Bislama	Bislama	Latin, Avoiuli (local)	Vanuatu		10, 000	bi	bis	bis	bisl1239	Bislama	https://en.wikipedia.org/wiki/Bislama	Vanuatu	Latin;;Avoiuli (local)	Melanesian Pidgin
Bissa	Bɩsa		Burkina Faso, Ghana, Togo	Bissa people	590, 000			bib	biss1248	Bissa language	https://en.wikipedia.org/wiki/Bissa_language			Bisa–Busa
Bobo	Bobo		Burkina Faso, Mali	Bobo	338, 000				bobo1253	Bobo language	https://en.wikipedia.org/wiki/Bobo_language			Soninke–Bobo
Bodo	बर	*Devanagari (official) *Eastern Nagari (contemporary) *Latin (contemporary)	Bodoland (Assam)	Boro	1.4 million			brx	bodo1269	Boro language (India)	https://en.wikipedia.org/wiki/Boro_language_(India)	Northeast India	*Devanagari (official) *Eastern Nagari (contemporary) *Latin (contemporary)	Boroic
Bokmål	bokmål	Latin (Norwegian alphabet)			none	nb	nob	nob	norw1259	Bokmål	https://en.wikipedia.org/wiki/Bokmål	Norway	Latin (Norwegian alphabet)	Dano-Norwegian
Bosnian		Formerly:	Bosnia and surrounding areas	Bosniaks	3.109630 million	bs	bos	bos	bosn1245	Bosnian language	https://en.wikipedia.org/wiki/Bosnian_language		Formerly:	Serbo-Croatian
Bozo			Mali, Nigeria, Burkina Faso, Ivory Coast	Bozo people	230, 000 (apart from Tieyaxo) in Mali				bozo1252	Bozo language	https://en.wikipedia.org/wiki/Bozo_language			Soninke–Bozo
Breton	brezhoneg	Latin script (Breton alphabet)	Lower Brittany	Bretons	107000 in Brittany	br	bre		bret1245	Breton language	https://en.wikipedia.org/wiki/Breton_language	Brittany (France)	Latin script (Breton alphabet)	Southwestern Brittonic
Bulgarian	български език			Bulgarians	L1: 6.757200 million	bg	bul	bul	bulg1262	Bulgarian language	https://en.wikipedia.org/wiki/Bulgarian_language			Eastern
Burgenland Croatian	gradišćanskohrvatski jezik			Burgenland Croats	19, 412 (in Burgenland), 50, 000–60, 000 (all speakers)				burg1244	Burgenland Croatian	https://en.wikipedia.org/wiki/Burgenland_Croatian			Chakavian
Burmese	မြန်မာဘာသာစကား				L1: 32.9 million	my		mya	mran1234	Burmese language	https://en.wikipedia.org/wiki/Burmese_language	Myanmar		Burmish
Bésiro	Besïro		Santa Cruz; Mato Grosso	Chiquitanos	2400			cax	chiq1253	Chiquitano language	https://en.wikipedia.org/wiki/Chiquitano_language	Bolivia;;Brazil		Macro-Jê?
Canichana			Beni Department	Canichana people				caz	cani1243	Canichana language	https://en.wikipedia.org/wiki/Canichana_language	Bolivia		Tequiraca–Canichana?
Cantonese	廣東話 / Gwong2dung1waa6, 廣府話 / Gwong2fu2waa6		Guangdong, eastern Guangxi	| familycolor = Sino-Tibetan				yue	cant1236	Cantonese	https://en.wikipedia.org/wiki/Cantonese	China;;Hong Kong;;Macau;;overseas Chinese communities		Yuehai
Cape Verdean Creole	kauberdianu, kabuverdianu, kriolu, kriol	Latin (ALUPEC)		Cape Verdeans	871, 000			kea	kabu1256	Cape Verdean Creole	https://en.wikipedia.org/wiki/Cape_Verdean_Creole	Cape Verde	Latin (ALUPEC)	Upper Guinea Creole
Castilian		Latin script (Spanish alphabet), Spanish Braille			L1: 519.115 million	es	spa	spa	stan1288	Spanish language	https://en.wikipedia.org/wiki/Spanish_language	Spain;;Hispanic America;;Equatorial Guinea	Latin script (Spanish alphabet);;Spanish Braille	Castilian
Catalan	català, valencià		Southern Europe		L1: 4.141310 million	ca	cat	cat	stan1289	Catalan language	https://en.wikipedia.org/wiki/Catalan_language			Occitano-Romance
Cavineña	| fontcolor = #ffffff		Beni Department		600			cav	cavi1250	Cavineña language	https://en.wikipedia.org/wiki/Cavineña_language	Bolivia		Cavinena–Tacana
Cayubaba			Beni Department	2, 203 Cayubaba people (2012)	3 rememberers			cyb	cayu1262	Cayubaba language	https://en.wikipedia.org/wiki/Cayubaba_language	Bolivia		
Cebuano		Latin (Filipino alphabet), Philippine Braille, Historically Badlit	Central Visayas, almost all of Negros Island Region, western parts of Eastern Visayas, and most parts of Mindanao	Visayans	20 million		ceb	ceb	cebu1242	Cebuano language	https://en.wikipedia.org/wiki/Cebuano_language	Philippines	Latin (Filipino alphabet);;Philippine Braille;;Historically Badlit	Bisayan
Central Thai				Central Thai, Thai Chinese, Mon, Lao Wiang, Phuan	L1: 27.177030 million	th	tha	tha	thai1261	Thai language	https://en.wikipedia.org/wiki/Thai_language			Chiang Saen
Chakma			*Bangladesh **Chittagong Hill Tracts *India **Northeast India *Myanmar **Rakhine State	Chakma, Daingnet	740, 000			ccp	chak1266	Chakma language	https://en.wikipedia.org/wiki/Chakma_language			Bengali–Assamese
Cham		Cham, Jawi, Latin	Mainland Southeast Asia	Cham	491, 448				cham1328	Cham language	https://en.wikipedia.org/wiki/Cham_language	Cambodia;;Vietnam	Cham;;Jawi;;Latin	Coastal
Chavacano	| states = Philippines	Latin (Spanish alphabet)	Zamboanga City and Basilan (Zamboangueño and Basileño), Cavite City (Caviteño) and Ternate, Cavite (Ternateño/Bahra)		700, 000 native speakers of Zamboangueño; 1.2 million of Zamboangueño as a second language;			cbk	chav1241	Chavacano	https://en.wikipedia.org/wiki/Chavacano		Latin (Spanish alphabet)	Spanish-based creole
Chechen		Cyrillic script (present, official), Latin script (historically), Arabic script (historically), Georgian script (historically)	North Caucasus (Chechnya, Ingushetia, Dagestan)	Chechens	1.762950 million	ce	che	che	chec1245	Chechen language	https://en.wikipedia.org/wiki/Chechen_language	Russia	Cyrillic script (present;;official);;Latin script (historically);;Arabic script (historically);;Georgian script (historically)	Vainakh
Chewa	Chichewa, Chinyanja	Latin script, Mwangwego script, Chewa Braille	Southeast Africa	Chewa	7 million	ny	nya	nya	nyan1308	Chewa language	https://en.wikipedia.org/wiki/Chewa_language	Malawi;;Zambia	Latin script;;Mwangwego script;;Chewa Braille	Nyasa
Chibarwe		Latin script, Mwangwego script		Sena	2, 869, 000				nucl1396	Sena language	https://en.wikipedia.org/wiki/Sena_language	Mozambique;;Malawi;;Zimbabwe	Latin script;;Mwangwego script	Sena (N40) ?
Chichewa	Chichewa, Chinyanja	Latin script, Mwangwego script, Chewa Braille	Southeast Africa	Chewa	7 million	ny	nya	nya	nyan1308	Chewa language	https://en.wikipedia.org/wiki/Chewa_language	Malawi;;Zambia	Latin script;;Mwangwego script;;Chewa Braille	Nyasa
Chimán										Chimán	https://en.wikipedia.org/wiki/Chimán			
Chin			India, Myanmar, Bangladesh	Zo *Kuki *Chin *Mizo *Zomi					kuki1246	Kuki-Chin languages	https://en.wikipedia.org/wiki/Kuki-Chin_languages			Kuki-Chin–Naga?
Chinese				Han Chinese, Hui, Chuanqing, She, Yao	1.390940300 billion	zh		zho	sini1245	Chinese language	https://en.wikipedia.org/wiki/Chinese_language	China (including Hong Kong;;Macau);;Taiwan;;Singapore;;Malaysia		Sinitic
Chipewyan										Chipewyan	https://en.wikipedia.org/wiki/Chipewyan			
Chiquitano										Chiquitano	https://en.wikipedia.org/wiki/Chiquitano			
Chittagonian	চাটগাঁইয়া, চিটাইঙ্গা	* Bengali–Assamese script (Bengali alphabet) * Arabic * Latin	Chittagong region	Bengali	13 million			ctg	chit1275	Chittagonian language	https://en.wikipedia.org/wiki/Chittagonian_language	Bangladesh	* Bengali–Assamese script (Bengali alphabet) * Arabic * Latin	Southeastern Bengali
Chokwe	Ucôkwe (Wuchokwe)		|speakers=2.491700 million	Chokwe people				cjk	chok1245	Chokwe language	https://en.wikipedia.org/wiki/Chokwe_language	Angola;;Democratic Republic of the Congo;;Zambia		Chokwe–Luchazi (K.10)
Chuukese	Chuuk	Latin script	Chuuk	Chuukese	51, 330		chk	chk	chuu1238	Chuukese language	https://en.wikipedia.org/wiki/Chuukese_language	Federated States of Micronesia	Latin script	Chuukic
Chácobo			Beni Department	1, 600–2, 000 Chacobo (2018)				cao	chac1251	Chácobo language	https://en.wikipedia.org/wiki/Chácobo_language	Bolivia		Bolivian
Circassian			North Caucasus	Circassians, Cherkesogai					circ1239	Circassian languages	https://en.wikipedia.org/wiki/Circassian_languages			Northwest Caucasian
Cocos Malay	Basa Pulu Kokos	Latin (Malay alphabet)	Cocos Islands, Sabah	4, 000 in Malaysia (2000)	1, 060 in Australia			coa	coco1260	Cocos Malay	https://en.wikipedia.org/wiki/Cocos_Malay	Australia;;Malaysia	Latin (Malay alphabet)	Betawi
Comorian	shikomori,	Arabic, Latin	Throughout Comoros and Mayotte; also in Madagascar and Réunion	Comorians	790, 000 in Comoros				como1260	Comorian languages	https://en.wikipedia.org/wiki/Comorian_languages	Comoros;;Mayotte	Arabic;;Latin	Sabaki
Cook Islands Māori	Māori, Maori Kuki Airani, Māori Kūki Āirani		Polynesia		13, 620 in Cook Islands, 96% of ethnic population		rar		raro1241	Cook Islands Māori	https://en.wikipedia.org/wiki/Cook_Islands_Māori	Cook Islands;;New Zealand		Tahitic
Coptic	*ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ (Bohairic Dialect), *ⲧⲙⲉⲧⲗⲉⲙⲛ̄ⲕⲏⲙⲓ (Fayyumic Dialect), *ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ (Akhmimic Dialect), *ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ (Sahidic Dialect)	Coptic alphabet		Copts			cop	cop	copt1239	Coptic language	https://en.wikipedia.org/wiki/Coptic_language	Egypt	Coptic alphabet	Egyptian
Corsican	corsu, lingua corsa	Latin script (Corsican alphabet)		Corsicans	150, 000 in Corsica	co	cos		cors1241	Corsican language	https://en.wikipedia.org/wiki/Corsican_language		Latin script (Corsican alphabet)	Tuscan
Cree										Cree	https://en.wikipedia.org/wiki/Cree			
Crimean Tatar	qırımtatar tili, къырымтатар тили, قریم تاتار تلی qırım tili, къырым тили, قریم تلی	Crimean Tatar alphabet (Latin and Cyrillic; previously Arabic)	Eastern Europe	Crimean Tatars	581, 340		crh	crh	crim1257	Crimean Tatar language	https://en.wikipedia.org/wiki/Crimean_Tatar_language	Ukraine;;Turkey;;Uzbekistan;;Russia;;Kyrgyzstan;;Bulgaria	Crimean Tatar alphabet (Latin;;Cyrillic;;previously Arabic)	Kipchak–Cuman
Croatian	hrvatski	Latin (Gaj's alphabet), Yugoslav Braille, Glagolitic (historical), Bosnian Cyrillic (historical)	Southeast Europe	Croats	L1: 5.146970 million	hr	hrv	hrv	croa1245	Croatian language	https://en.wikipedia.org/wiki/Croatian_language	Croatia;;Bosnia;;Herzegovina;;Hungary (Bácska);;Montenegro (Bay of Kotor);;Romania (Caraș-Severin County);;Serbia (Vojvodina)	Latin (Gaj's alphabet);;Yugoslav Braille;;Glagolitic (historical);;Bosnian Cyrillic (historical)	Serbo-Croatian
Cypriot Arabic	Σάννα · Sanna · سانا	Greek and Latin, Arabic script (historical)	Kormakitis and urban areas in the south	Maronite Cypriots, Lebanese Cypriots	No speakers in the south			acy	cypr1248	Cypriot Arabic	https://en.wikipedia.org/wiki/Cypriot_Arabic	Cyprus	Greek;;Latin;;Arabic script (historical)	Qeltu
Czech	čeština, český jazyk			Czechs	L1: 9.757710 million	cs		ces	czec1258	Czech language	https://en.wikipedia.org/wiki/Czech_language			Czech–Slovak
Dagaare	|states=Ghana, Burkina Faso, Ivory Coast	Latin (Dagaare alphabet), Dagaare Braille		Dagaaba people	1.323000 million				sout2789	Dagaare language	https://en.wikipedia.org/wiki/Dagaare_language		Latin (Dagaare alphabet);;Dagaare Braille	Moré
Dagbani	Dagbanli	Latin, Ajami	Kingdom of Dagbon	5.640000 million Dagomba (2021 census)	1.170000 million			dag	dagb1246	Dagbani language	https://en.wikipedia.org/wiki/Dagbani_language	Ghana;;Togo	Latin;;Ajami	Southeastern
Danish	dansk		Denmark, Schleswig-Holstein (Germany); , Additionally in the Faroe Islands and Greenland		5.97 million	da	dan		dani1285	Danish language	https://en.wikipedia.org/wiki/Danish_language			East Scandinavian
Dari	دری	Persian alphabet	| speakers = L1: 15.206330 million	Afghan Tajiks				prs	dari1249	Dari	https://en.wikipedia.org/wiki/Dari	Afghanistan	Persian alphabet	Persian
Dhivehi	ދިވެހި, '	Thaana (official), Unofficial, Latin (Maldivian alphabet), Historical, Dhives Akuru (until the 19th century), Eveyla Akuru (ancient)		Maldivians	504, 829	dv	div	div	dhiv1236	Dhivehi language	https://en.wikipedia.org/wiki/Dhivehi_language	Maldives;;Minicoy	Thaana (official);;Unofficial;;Latin (Maldivian alphabet);;Historical;;Dhives Akuru (until the 19th century);;Eveyla Akuru (ancient)	Sinhalese–Maldivian
Dinka										Dinka people	https://en.wikipedia.org/wiki/Dinka_people			
Dogon			Dogon country, Mali (mainly Bandiagara Region)	Dogon people					dogo1299	Dogon languages	https://en.wikipedia.org/wiki/Dogon_languages			Niger-Congo?
Dogri					2.597 million in India		doi	doi	indo1311	Dogri language	https://en.wikipedia.org/wiki/Dogri_language			Western Pahari
Dutch					25 million	nl		nld	mode1257	Dutch language	https://en.wikipedia.org/wiki/Dutch_language			Low Franconian
Dutch Low Saxon					2.15 million (2005)			|glotto=none		Dutch Low Saxon	https://en.wikipedia.org/wiki/Dutch_Low_Saxon	Netherlands;;Germany		Low Saxon
Dutch Sign Language					15, 000			dse	dutc1253	Dutch Sign Language	https://en.wikipedia.org/wiki/Dutch_Sign_Language	Netherlands		French Sign
Dyula	Julakan ߖߎ߬ߟߊ߬ߞߊ߲	N'Ko, Latin, Ajami		Dyula	L1: 2.563000 million		dyu	dyu	dyul1238	Dyula language	https://en.wikipedia.org/wiki/Dyula_language	Burkina Faso;;Mali;;Côte d'Ivoire	N'Ko;;Latin;;Ajami	Bambara–Dyula
Dzongkha		Tibetan script, Dzongkha Braille		Ngalop people	171, 080	dz	dzo	dzo	nucl1307	Dzongkha	https://en.wikipedia.org/wiki/Dzongkha	Bhutan	Tibetan script;;Dzongkha Braille	Dzongkha–Lhokä
East Pomeranian	|states = Diaspora of German expellees in the Americas; formerly Province of Pomerania		|speakers = Native: ≅ 300.000				nds	nds	east2293	East Pomeranian dialect	https://en.wikipedia.org/wiki/East_Pomeranian_dialect			East Low German
Egyptian Arabic		Arabic alphabet	| extinct =	Egyptians	L1: 83.567230 million			arz	egyp1253	Egyptian Arabic	https://en.wikipedia.org/wiki/Egyptian_Arabic	Egypt	Arabic alphabet	Arabic
English					L1: 380 million	en	eng	eng	stan1293	English language	https://en.wikipedia.org/wiki/English_language	The English-speaking world;;including the		Anglic
Ese Ejja	ese'ejja		Beni Department (Bolivia), La Paz Department, Pando Department, (Bolivia); Department of Madre de Dios (Peru), Department of Puno, Peru	Ese Ejja people	730			ese	esee1248	Ese Ejja language	https://en.wikipedia.org/wiki/Ese_Ejja_language	Bolivia;;Peru		Tacanan
Estonian	eesti keel	Latin (Estonian alphabet), Estonian Braille	Northern Europe	Estonians	1.244850 million	et	est	est	esto1258	Estonian language	https://en.wikipedia.org/wiki/Estonian_language	Estonia	Latin (Estonian alphabet);;Estonian Braille	Central Finnic
Ewe	Eʋegbe	Latin (Ewe alphabet), Ewe Braille	Southern Ghana east of the Volta River	Ewe	5.026230 million	ee	ewe		ewee1241	Ewe language	https://en.wikipedia.org/wiki/Ewe_language	Ghana;;Togo;;Benin	Latin (Ewe alphabet);;Ewe Braille	Gbe
Faifi		Latin script	Jebel Fayfa, Jebel Minabbih		50, 000			fif		Faifi language	https://en.wikipedia.org/wiki/Faifi_language	Saudi Arabia;;Yemen	Latin script	Sayhadic?
Fala	| states = Spain		Extremadura		10, 500			fax	fala1241	Fala language	https://en.wikipedia.org/wiki/Fala_language			Galician–Portuguese
Fante	Fante			Fante people	2.786100 million		fat	fat	fant1241	Fante dialect	https://en.wikipedia.org/wiki/Fante_dialect	Ghana		Akuapem–Fante
Faroese	føroyskt			Faroe Islanders	69, 150	fo	fao	fao	faro1244	Faroese language	https://en.wikipedia.org/wiki/Faroese_language	Faroe Islands		Insular Scandinavian
Fiji Hindi	फ़िजी हिंदी			Indo-Fijians and the Indo-Fijian diaspora	380, 000				fiji1242	Fiji Hindi	https://en.wikipedia.org/wiki/Fiji_Hindi	Fiji		Awadhi;;Bhojpuri;;Maithili
Fijian	Vosa Vaka-Viti	Latin-based		Fijians	339, 210	fj	fij	fij	fiji1243	Fijian language	https://en.wikipedia.org/wiki/Fijian_language	Fiji	Latin-based	East Fijian
Filipino	Wikang Filipino	Latin (Filipino alphabet), Philippine Braille,	All regions of the Philippines, especially in Metro Manila, and in other urban centers in the archipelago		L1: 29.211970 million (2010)		fil	fil	fili1244	Filipino language	https://en.wikipedia.org/wiki/Filipino_language	Philippines	Latin (Filipino alphabet);;Philippine Braille	Tagalog
Finnish	suomi, suomen kieli		| speakers = 5 million, Finland: 4.75 million (2023), Sweden: – (2022), Russia (Karelia): 8500, US: 26000	Finns		fi	fin	fin	nucl1717	Finnish language	https://en.wikipedia.org/wiki/Finnish_language	Finland;;Sweden;;Russia		| script = Latin (Finnish alphabet);;Finnish Braille
Formosan languages			Taiwan	Taiwanese Aborigines (Formosan people)					none	Formosan languages	https://en.wikipedia.org/wiki/Formosan_languages			
Franco-Provençal	patouès, gaga, arpetan	Latin	Aosta Valley, Piedmont, Apulia, Bourgogne-Franche-Comté, Savoie, Bresse, Bugey, Dombes, Beaujolais, Dauphiné, Lyonnais, Forez, Romandie		157, 000			frp	fran1269	Franco-Provençal	https://en.wikipedia.org/wiki/Franco-Provençal	Italy;;France;;Switzerland	Latin	Arpitan–Oïl
French	français	Latin script (French alphabet), French Braille			L1: 74.170080 million	fr		fra	stan1290	French language	https://en.wikipedia.org/wiki/French_language	France;;Belgium;;Switzerland;;Monaco;;Francophone Africa;;Canada;;other locations in the Francophonie	Latin script (French alphabet);;French Braille	Francien zone
Frisian			Netherlands and Germany., West Frisian: Friesland, Westerkwartier; , Saterland Frisian: Saterland; , North Frisian: Nordfriesland, Heligoland	Frisians					fris1239	Frisian languages	https://en.wikipedia.org/wiki/Frisian_languages			Anglo-Frisian
Friulian	furlan	Latin (Friulian alphabet)	Friuli	Friulians	Regular speakers: 420, 000		fur	fur	friu1240	Friulian language	https://en.wikipedia.org/wiki/Friulian_language	Italy	Latin (Friulian alphabet)	Rhaeto-Romance
Fula	Fulfulde, Pulaar, Pular	Latin, Adlam, Arabic (Ajami)	Sahel	Fula	L1: 36.854740 million	ff	ful	ful	fula1264	Fula language	https://en.wikipedia.org/wiki/Fula_language	Western Africa	Latin;;Adlam;;Arabic (Ajami)	Fula–Wolof
Fulfulde	Fulfulde, Pulaar, Pular	Latin, Adlam, Arabic (Ajami)	Sahel	Fula	L1: 36.854740 million	ff	ful	ful	fula1264	Fula language	https://en.wikipedia.org/wiki/Fula_language	Western Africa	Latin;;Adlam;;Arabic (Ajami)	Fula–Wolof
Ga	Gã	Latin (Ga alphabet), Ghanaian braille	South-eastern Ghana, around Accra	Ga	745, 000		gaa	gaa	gaaa1244	Ga language	https://en.wikipedia.org/wiki/Ga_language	Ghana	Latin (Ga alphabet);;Ghanaian braille	Ga–Dangme
Gagauz		Latin (Gagauz alphabet, current), Cyrillic (historical), Greek (historical)	Gagauzia	Gagauz	148, 720 (total speakers), 115, 000 (in Moldova)			gag	gaga1249	Gagauz language	https://en.wikipedia.org/wiki/Gagauz_language	Moldova;;Ukraine;;Russia;;Turkey	Latin (Gagauz alphabet;;current);;Cyrillic (historical);;Greek (historical)	Western Oghuz
Galician	galego	Latin (Galician alphabet), Galician Braille	Galicia and adjacent areas in Asturias and Castile and León	Galician	million	gl	glg	glg	gali1258	Galician language	https://en.wikipedia.org/wiki/Galician_language		Latin (Galician alphabet);;Galician Braille	Galician-Portuguese
